"Camperdown","Manager","Carlotta Tilly  "
"Chippendale","Manager","Lurlene Grimmer  "
"Darlinghurst","Manager","Christena Squires  "
"Darlington","Manager","Mina Boles  "
"Potts Point","Manager","Eloise Bondi  "
"Redfern","Manager","Malcom Haran  "
"Surry Hills","Manager","Emilie Hanford  "
"Brunswick","Manager","Phuong Tellez  "
"Brunswick East","Manager","Scarlett Edie  "
"Collingwood","Manager","Buster Gage  "
"West Melbourne","Manager","Gayle Hon  "
"St Kilda","Manager","Chere Warriner  "
"Travancore","Manager","Dorian Loan  "
"Fitzroy","Manager","Maricela Wolfram  "
"Fortitude Valley","Manager","Codi Laney  "
"Petrie Terrace","Manager","Evette Drakes  "
"West End","Manager","Liberty Petit  "
"New Farm","Manager","Shemeka Sams  "
"Milton","Manager","Palmira Yeary  "
"Highgate Hill","Manager","Forrest Deem  "
"Bowen Hills","Manager","Guy Branscome  "
